timestamp,flow1,occupancy1,flow2,occupancy2,flow3,occupancy3,totalflow,weekday,hour,minute,second
2016-01-01 01:20:02,1,0.0044,3,0.0178,1,0.0056,5,4,1,20,0
2016-01-01 01:20:32,1,0.0044,1,0.0056,1,0.0044,3,4,1,20,30
2016-01-01 01:21:03,4,0.0222,7,0.0422,3,0.02,14,4,1,21,0
2016-01-01 01:21:32,0,0,1,0.0056,3,0.0189,4,4,1,21,30
2016-01-01 01:22:03,1,0.0056,3,0.02,2,0.01,6,4,1,22,0
2016-01-01 01:22:34,0,0,2,0.0111,1,0.0056,3,4,1,22,30
2016-01-01 01:23:03,2,0.01,2,0.0133,2,0.01,6,4,1,23,0
2016-01-01 01:23:32,3,0.0156,2,0.0111,1,0.0056,6,4,1,23,30
2016-01-01 01:24:02,0,0,3,0.0156,2,0.0356,5,4,1,24,0
2016-01-01 01:24:32,4,0.0233,6,0.0378,3,0.0189,13,4,1,24,30
2016-01-01 01:25:02,1,0.0056,2,0.0111,1,0.0056,4,4,1,25,0
2016-01-01 01:25:33,0,0,2,0.01,0,0,2,4,1,25,30
2016-01-01 01:26:04,3,0.0178,5,0.03,3,0.0211,11,4,1,26,0
2016-01-01 01:26:33,1,0.0044,4,0.0244,1,0.0067,6,4,1,26,30
2016-01-01 01:27:04,4,0.0211,6,0.0367,1,0.0044,11,4,1,27,0
2016-01-01 01:27:32,0,0,0,0,1,0.0056,1,4,1,27,30
2016-01-01 01:28:02,0,0,1,0.0056,0,0,1,4,1,28,0
2016-01-01 01:28:33,0,0,1,0.0067,1,0.0056,2,4,1,28,30
2016-01-01 01:29:03,2,0.01,5,0.0311,1,0.0044,8,4,1,29,0
2016-01-01 01:29:33,0,0,2,0.01,1,0.0044,3,4,1,29,30
2016-01-01 01:30:04,3,0.0167,4,0.0256,3,0.0178,10,4,1,30,0
2016-01-01 01:30:32,3,0.0167,2,0.01,6,0.04,11,4,1,30,30
2016-01-01 01:31:02,3,0.0178,5,0.0289,2,0.01,10,4,1,31,0
2016-01-01 01:31:32,3,0.0156,7,0.04,3,0.01,13,4,1,31,30
2016-01-01 01:32:03,2,0.01,1,0.0044,2,0.0089,5,4,1,32,0
2016-01-01 01:32:33,1,0.0056,2,0.01,4,0.0222,7,4,1,32,30
2016-01-01 01:33:03,3,0.0178,4,0.02,2,0.0111,9,4,1,33,0
2016-01-01 01:33:33,2,0.01,3,0.0156,2,0.01,7,4,1,33,30
2016-01-01 01:34:04,0,0,4,0.0244,1,0.0044,5,4,1,34,0
2016-01-01 01:34:33,0,0,2,0.01,2,0.0111,4,4,1,34,30
2016-01-01 01:35:02,2,0.0111,4,0.0222,3,0.0178,9,4,1,35,0
2016-01-01 01:35:32,2,0.01,3,0.0167,3,0.0167,8,4,1,35,30
2016-01-01 01:36:03,1,0.0056,5,0.0311,4,0.0222,10,4,1,36,0
2016-01-01 01:36:33,0,0,1,0.0056,1,0.0044,2,4,1,36,30
2016-01-01 01:37:03,3,0.0189,3,0.0178,2,0.0122,8,4,1,37,0
2016-01-01 01:37:33,3,0.0167,4,0.0233,2,0.01,9,4,1,37,30
2016-01-01 01:38:04,1,0.0056,2,0.0111,0,0,3,4,1,38,0
2016-01-01 01:38:32,0,0,1,0.0044,2,0.0111,3,4,1,38,30
2016-01-01 01:39:02,5,0.0278,4,0.0233,5,0.03,14,4,1,39,0
2016-01-01 01:39:33,0,0,6,0.0356,2,0.0156,8,4,1,39,30
2016-01-01 01:40:03,2,0.01,1,0.0044,1,0.0033,4,4,1,40,0
2016-01-01 01:40:33,3,0.0133,4,0.0233,2,0.0122,9,4,1,40,30
2016-01-01 01:41:03,2,0.0111,2,0.0111,0,0,4,4,1,41,0
2016-01-01 01:41:33,1,0.0056,6,0.0322,1,0.0267,8,4,1,41,30
2016-01-01 01:42:02,2,0.01,3,0.0178,2,0.0111,7,4,1,42,0
2016-01-01 01:42:32,1,0.0044,3,0.0167,2,0.01,6,4,1,42,30
2016-01-01 01:43:03,3,0.0167,5,0.0278,3,0.0167,11,4,1,43,0
2016-01-01 01:43:33,0,0,1,0.0044,2,0.0111,3,4,1,43,30
2016-01-01 01:44:03,4,0.0222,6,0.0367,3,0.02,13,4,1,44,0
2016-01-01 01:44:33,4,0.02,2,0.01,1,0.0044,7,4,1,44,30
2016-01-01 01:45:04,1,0.0044,2,0.0111,1,0.0044,4,4,1,45,0
2016-01-01 01:45:32,2,0.0111,4,0.02,3,0.02,9,4,1,45,30
2016-01-01 01:46:03,0,0,3,0.0178,1,0.0044,4,4,1,46,0
2016-01-01 01:46:33,1,0.0056,4,0.0222,2,0.0122,7,4,1,46,30
2016-01-01 01:47:03,2,0.0122,1,0.0056,1,0.0144,4,4,1,47,0
2016-01-01 01:47:34,2,0.01,6,0.0356,2,0.0111,10,4,1,47,30
2016-01-01 01:48:03,2,0.01,5,0.0278,1,0.0033,8,4,1,48,0
2016-01-01 01:48:33,2,0.01,5,0.0244,3,0.0189,10,4,1,48,30
2016-01-01 01:49:03,2,0.01,3,0.0167,5,0.0278,10,4,1,49,0
2016-01-01 01:49:33,3,0.0167,3,0.0144,3,0.0356,9,4,1,49,30
2016-01-01 01:50:03,1,0.0044,2,0.0111,0,0,3,4,1,50,0
2016-01-01 01:50:33,4,0.0211,2,0.0089,2,0.01,8,4,1,50,30
2016-01-01 01:51:03,0,0,2,0.0144,1,0.0056,3,4,1,51,0
2016-01-01 01:51:33,1,0.0044,5,0.03,2,0.01,8,4,1,51,30
2016-01-01 01:52:03,4,0.02,2,0.01,0,0,6,4,1,52,0
2016-01-01 01:52:33,2,0.0111,1,0.0056,2,0.01,5,4,1,52,30
2016-01-01 01:53:03,2,0.0111,4,0.0233,6,0.0389,12,4,1,53,0
2016-01-01 01:53:33,4,0.0211,4,0.0222,1,0.0044,9,4,1,53,30
2016-01-01 01:54:03,2,0.0111,2,0.0111,3,0.0167,7,4,1,54,0
2016-01-01 01:54:33,1,0.0033,2,0.01,1,0.0067,4,4,1,54,30
2016-01-01 01:55:03,3,0.0167,3,0.0133,0,0,6,4,1,55,0
2016-01-01 01:55:34,1,0.0044,4,0.0222,3,0.0167,8,4,1,55,30
2016-01-01 01:56:03,2,0.0111,2,0.0111,2,0.01,6,4,1,56,0
2016-01-01 01:56:33,2,0.0111,6,0.0311,2,0.01,10,4,1,56,30
2016-01-01 01:57:03,0,0,3,0.0133,2,0.01,5,4,1,57,0
2016-01-01 01:57:33,2,0.01,3,0.0178,1,0.0056,6,4,1,57,30
2016-01-01 01:58:03,1,0.0033,3,0.0178,2,0.0111,6,4,1,58,0
2016-01-01 01:58:34,4,0.0211,5,0.0278,0,0,9,4,1,58,30
2016-01-01 01:59:03,4,0.0156,1,0.0056,1,0.0067,6,4,1,59,0
2016-01-01 01:59:34,0,0,5,0.0289,3,0.0178,8,4,1,59,30
2016-01-01 02:00:06,3,0.0156,4,0.02,3,0.0156,10,4,2,0,0
2016-01-01 02:00:34,0,0,3,0.02,1,0.0044,4,4,2,0,30
2016-01-01 02:01:03,2,0.01,4,0.0256,3,0.0189,9,4,2,1,0
2016-01-01 02:01:33,0,0,1,0.0056,0,0,1,4,2,1,30
2016-01-01 02:02:03,0,0,2,0.0122,1,0.0033,3,4,2,2,0
2016-01-01 02:02:33,3,0.0167,2,0.01,4,0.0233,9,4,2,2,30
2016-01-01 02:03:03,2,0.01,4,0.0233,1,0.0044,7,4,2,3,0
2016-01-01 02:03:33,2,0.01,3,0.0178,3,0.0156,8,4,2,3,30
2016-01-01 02:04:03,0,0,4,0.0256,1,0.0056,5,4,2,4,0
2016-01-01 02:04:33,1,0.0056,4,0.0233,2,0.0111,7,4,2,4,30
2016-01-01 02:05:03,4,0.0211,4,0.0244,2,0.01,10,4,2,5,0
2016-01-01 02:05:33,1,0.0044,3,0.0178,2,0.0133,6,4,2,5,30
2016-01-01 02:06:03,1,0,2,0.0122,1,0,4,4,2,6,0
2016-01-01 02:06:34,2,0.01,4,0.0222,1,0.0033,7,4,2,6,30
2016-01-01 02:07:03,5,0.03,6,0.0344,4,0.0267,15,4,2,7,0
2016-01-01 02:07:33,1,0.0044,2,0.0111,3,0.0189,6,4,2,7,30
2016-01-01 02:08:03,3,0.0178,3,0.0178,0,0,6,4,2,8,0
2016-01-01 02:08:33,1,0.0044,3,0.0144,1,0.0067,5,4,2,8,30
2016-01-01 02:09:03,5,0.0278,1,0.0044,1,0.0267,7,4,2,9,0
2016-01-01 02:09:33,2,0.01,3,0.0156,2,0.0111,7,4,2,9,30
2016-01-01 02:10:03,1,0.0044,2,0.01,1,0.0044,4,4,2,10,0
2016-01-01 02:10:35,2,0.01,5,0.03,3,0.0389,10,4,2,10,30
2016-01-01 02:11:05,2,0.01,5,0.03,3,0.0189,10,4,2,11,0
2016-01-01 02:11:33,1,0.0044,0,0,2,0.0111,3,4,2,11,30
2016-01-01 02:12:03,4,0.02,5,0.03,3,0.0222,12,4,2,12,0
2016-01-01 02:12:33,1,0.0044,3,0.0178,1,0.0056,5,4,2,12,30
2016-01-01 02:13:03,0,0,3,0.0167,1,0.0056,4,4,2,13,0
2016-01-01 02:13:33,2,0.0111,0,0,1,0.0056,3,4,2,13,30
2016-01-01 02:14:04,1,0.0044,2,0.0111,0,0,3,4,2,14,0
2016-01-01 02:14:33,1,0.0044,2,0.0111,2,0.0111,5,4,2,14,30
2016-01-01 02:15:03,3,0.0167,5,0.0311,2,0.01,10,4,2,15,0
2016-01-01 02:15:33,1,0.0044,2,0.0111,0,0,3,4,2,15,30
